上级地域  地域  MVGeoID
云南省 大理白族自治州 1156532900
云南省 德宏傣族景颇族自治州  1156533100
云南省 怒江傈僳族自治州  1156533300
云南省 迪庆藏族自治州 1156533400
福建省 福建省 1156350000
福建省 福州市 1156350100
福建省 厦门市 1156350200
福建省 莆田市 1156350300
福建省 三明市 1156350400
福建省 泉州市 1156350500
福建省 漳州市 1156350600
福建省 南平市 1156350700
福建省 龙岩市 1156350800
福建省 宁德市 1156350900
江西省 江西省 1156360000
江西省 南昌市 1156360100
江西省 景德镇市  1156360200
江西省 萍乡市 1156360300
江西省 九江市 1156360400
江西省 新余市 1156360500
江西省 鹰潭市 1156360600
江西省 赣州市 1156360700
江西省 吉安市 1156360800
江西省 宜春市 1156360900
江西省 抚州市 1156361000
江西省 上饶市 1156361100
山东省 山东省 1156370000
山东省 济南市 1156370100
山东省 青岛市 1156370200
山东省 淄博市 1156370300
山东省 枣庄市 1156370400
山东省 东营市 1156370500
山东省 烟台市 1156370600
山东省 潍坊市 1156370700
山东省 济宁市 1156370800
山东省 泰安市 1156370900
山东省 威海市 1156371000
山东省 日照市 1156371100
山东省 莱芜市 1156371200
山东省 临沂市 1156371300
山东省 德州市 1156371400
山东省 聊城市 1156371500
山东省 滨州市 1156371600
山东省 菏泽市 1156371700
河南省 河南省 1156410000
河南省 郑州市 1156410100
河南省 开封市 1156410200
河南省 洛阳市 1156410300
河南省 平顶山市  1156410400
河南省 安阳市 1156410500
河南省 鹤壁市 1156410600
河南省 新乡市 1156410700
河南省 焦作市 1156410800
河南省 濮阳市 1156410900
河南省 许昌市 1156411000
河南省 漯河市 1156411100
河南省 三门峡市  1156411200
河南省 南阳市 1156411300
河南省 商丘市 1156411400
河南省 信阳市 1156411500
河南省 周口市 1156411600
河南省 驻马店市  1156411700
河南省 省直辖县级行政区划 1156419000
广东省 广东省 1156440000
广东省 广州市 1156440100
广东省 韶关市 1156440200
广东省 深圳市 1156440300
广东省 珠海市 1156440400
广东省 汕头市 1156440500
广东省 佛山市 1156440600
广东省 江门市 1156440700
广东省 湛江市 1156440800
广东省 茂名市 1156440900
广东省 肇庆市 1156441200
广东省 惠州市 1156441300
广东省 梅州市 1156441400
广东省 汕尾市 1156441500
广东省 河源市 1156441600
广东省 阳江市 1156441700
广东省 清远市 1156441800
广东省 东莞市 1156441900
广东省 中山市 1156442000
广东省 潮州市 1156445100
广东省 揭阳市 1156445200
广东省 云浮市 1156445300
广西壮族自治区 广西壮族自治区 1156450000
广西壮族自治区 南宁市 1156450100
广西壮族自治区 柳州市 1156450200
广西壮族自治区 桂林市 1156450300
广西壮族自治区 梧州市 1156450400
广西壮族自治区 北海市 1156450500
广西壮族自治区 防城港市  1156450600
广西壮族自治区 钦州市 1156450700
广西壮族自治区 贵港市 1156450800
广西壮族自治区 玉林市 1156450900
广西壮族自治区 百色市 1156451000
广西壮族自治区 贺州市 1156451100
广西壮族自治区 河池市 1156451200
广西壮族自治区 来宾市 1156451300
广西壮族自治区 崇左市 1156451400
海南省 海南省 1156460000
海南省 海口市 1156460100
海南省 三亚市 1156460200
海南省 省直辖县级行政区划 1156469000
重庆市 重庆市 1156500000
西藏自治区 西藏自治区 1156540000
西藏自治区 拉萨市 1156540100
西藏自治区 昌都地区  1156542100
西藏自治区 山南地区  1156542200
西藏自治区 日喀则地区 1156542300
西藏自治区 那曲地区  1156542400
西藏自治区 阿里地区  1156542500
西藏自治区 林芝地区  1156542600
陕西省 陕西省 1156610000
陕西省 西安市 1156610100
